id,city,hotel_name,hotel_rating,comment,comment_rating
1,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
2,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Outdated overpriced hotel but great location on the beach",6.0
3,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
4,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Still happy on the facility &amp; enviroment",8.0
5,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
6,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
7,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Perfect stay not enough will",10
8,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
9,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Fabulous for a family staycation",9.0
10,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
11,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Family bliss",10
12,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
13,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very pleasant staying",10
14,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"enjoyable",8.0
15,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
16,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
17,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Fantastic relaxing time",10
18,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good",7.0
19,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Really nice get away from SG mainland. Despite proximity,felt like a proper holiday.",7.0
20,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
21,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Lovely but not what you expect of 5* hotel",7.9
22,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
23,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Amazing place for kids",8.0
24,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
25,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
26,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good",7.0
27,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Disappointing",4.0
28,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
29,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
30,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Best staycation so far",9.0
31,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
32,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
33,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
34,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Short and sweet but quite expensive",9.0
35,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
36,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Due to Covid and rules imposed by Govt. And lack of staff not the normal Shangri-La experience.",8.0
37,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
38,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
39,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good facilities but understaffed",6.0
40,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"This is the second time we came to shangrila great place to stay with kids .we enjoyed a lot.",10
41,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Relaxing staycation!",10
42,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"It was okay.",7.0
43,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
44,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
45,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
46,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
47,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
48,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
49,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Family friendly resort with wonderful water slides and private beach front suitable for all ages",8.0
50,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
51,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Unbelievable mum and son getaway!",10
52,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
53,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good",7.0
54,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
55,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"A great Staycation.",8.0
56,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good",7.0
57,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
58,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good",7.0
59,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Nice place away from town",9.0
60,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
61,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good",7.0
62,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
63,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Really enjoy our stay in your hotel,friendly and attentive staffs,nicely built facilities,and delicious food!",9.0
64,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Nice getaway",8.0
65,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
66,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
67,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
68,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"A good staycation that can improve on beach access",7.0
69,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
70,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
71,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
72,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
73,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
74,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Quite disappointing.",4.0
75,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Great for short getaway from the city!!",6.0
76,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
77,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
78,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
79,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good for staycation",9.0
80,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Stay was good,breakfast need to study to improves.",8.0
81,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
82,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"My son loves this place and we hope to be back again.",9.0
83,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
84,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Passable",5.0
85,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good",7.0
86,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",10
87,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
88,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
89,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"老旧，不值得",2.0
90,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Good",7.0
91,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
92,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very improved service.",10
93,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"好！",9.0
94,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.0
95,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Exceptional",9.6
96,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Excellent staycation for families",10
97,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"satisfied but can be improved.",9.0
98,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"it was fun",8.0
99,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Very good",8.0
100,"Singapore","Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean)",8.6,"Superb",9.2
101,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Superb",9.0
102,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Was good",9.0
103,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
104,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Excellent Staycation",10
105,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
106,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
107,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Very good",8.0
108,"Singapore","Marina Bay Sands (SG Clean)",9.0,"All was perfect except was a little dissapointed that there was no turn down in the evening when i went back into the ho",9.0
109,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Superb",9.0
110,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Very good",8.0
111,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Very good",8.0
112,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
113,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Superb",9.0
114,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
115,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Very good",8.0
116,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Superb",9.0
117,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Services is great.",8.0
118,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
119,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Therapeutically Wonderful.",10
120,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Good",7.0
121,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Bathroom needs",8.0
122,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Good",7.0
123,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
124,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
125,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Very good",8.0
126,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Very good",8.0
127,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Good",7.0
128,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Nice and balanced food!",8.0
129,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Superb",9.0
130,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
131,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Disappointing",4.0
132,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Superb",9.0
133,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Superb",9.0
134,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Not value for the money.",4.0
135,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
136,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
137,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Very good",8.0
138,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
139,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Wonderful",9.0
140,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Good",7.0
141,"Singapore","Marina Bay Sands (SG Clean)",9.0,"Exceptional",10
